direction,angle
X,14
Y,6
Y,6
Y,16
Y,5
Y,5
Y,5
Y,29
Y,38
Y,47
X,6
Y,12
X,5
X,7
Y,7
Y,19
X,5
X,15
X,18
X,29
Y,37
Y,39
